GEOID,NAME,racial_majority,total_filings_12months,eviction_rate_12months,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049009440,94.40,White,39,4.387503400315135,0.18,8888882,142902,8888.882,0.18,0.011226902690396622
39049009495,94.95,White,70,3.583289075447431,0.513,19535125,688822,19535.125,0.513,0.009169049933663891
39049009497,94.97,White,1,0.02469245790602623,0.329,40498196,798640,40498.196,0.329,6.318395606890236e-5
39049009498,94.98,Other,192,34.58244400616,0.769,5551950,146912,5551.95,0.769,0.08849081088469624
39049009520,95.20,White,13,2.053524646007893,0.483,6330579,13050,6330.579,0.483,0.005254633277641646
39049009590,95.90,White,43,0.9861651351866128,0.517,43603245,4004218,43603.245,0.517,0.0025234350835162222
39049009600,96,White,33,5.153160519232453,0.843,6403837,17782,6403.837,0.843,0.013186093871348586
39049009711,97.11,White,57,29.28054615923994,0.634,1946685,1026,1946.685,0.634,0.07492412254947589
39049009712,97.12,White,11,9.320477852426333,0.422,1180197,2924,1180.197,0.422,0.0238495764743274
39049009751,97.51,White,37,1.3608934611312828,0.133,27188021,187740,27188.021,0.133,0.003482303502948983
39049009752,97.52,White,27,3.3248492211663843,0.05,8120669,39605,8120.669,0.05,0.008507744669461659
39049009753,97.53,White,2,0.11244684848310045,0.053,17786181,216358,17786.181,0.053,0.00028773307062756167
39049009754,97.54,White,8,0.7530766948367557,0.052,10623088,350095,10623.088,0.052,0.0019269999359386258
39049009755,97.55,White,51,4.635742025501125,0.104,11001475,139098,11001.475,0.104,0.01186210467992916
39049009756,97.56,White,95,27.483081993316112,0.431,3456672,16425,3456.672,0.431,0.07032470610712002
39049009757,97.57,White,26,7.107233113145784,0.152,3658245,7449,3658.245,0.152,0.01818624563425324
39049009801,98.01,White,11,0.2912015901512869,0.238,37774519,427769,37774.519,0.238,7.45137181131857e-4
39049009802,98.02,White,8,0.11381967960756112,0.233,70286615,1002857,70286.615,0.233,2.912459206560222e-4
39049009900,99,Other,71,25.13805572363434,0.843,2824403,40220,2824.403,0.843,0.06432416791169661
39049010000,100,White,163,15.51260646715805,0.272,10507583,2324911,10507.583,0.272,0.039694219557457604
39049010100,101,Black,29,4.413544895339632,0.445,6570682,52856,6570.682,0.445,0.011293538611529236
39049010201,102.01,Other,200,16.54032614215087,0.209,12091660,113708,12091.66,0.209,0.042323985903239054
39049010202,102.02,Other,158,33.73793228327222,0.644,4683156,242182,4683.156,0.644,0.08632984368565559
39049010203,102.03,Other,177,74.03265049018398,0.139,2390837,38098,2390.837,0.139,0.18943742879053746
39049010204,102.04,Black,311,38.109578640402184,0.318,8160678,70764,8160.678,0.318,0.09751617079933936
39049010300,103,White,201,10.258055418710601,0.511,19594357,27439,19594.357,0.511,0.026248683925871787
39049010401,104.01,Other,0,0,0.095,2574414,73588,2574.414,0.095,0
39049010402,104.02,White,3,0.8521252999126004,0.177,3520609,64386,3520.609,0.177,0.0021804490958244422
39049010501,105.01,White,9,3.2606852656154217,0.265,2760156,58257,2760.156,0.265,0.008343559614892847
39049010502,105.02,White,6,1.054570137878015,0.117,5689522,81438,5689.522,0.117,0.002698472283190536
39049010601,106.01,White,16,4.3981853087416125,0.056,3637864,118858,3637.864,0.056,0.011254235944757902
39049010602,106.02,White,49,13.825408787711977,0.267,3544199,71035,3544.199,0.267,0.03537695699642037
39049010700,107,White,15,10.762486277829995,0.495,1393730,8400,1393.73,0.495,0.027539439887214138
39049010900,109,White,52,11.827420646536853,0.419,4396563,53452,4396.563,0.419,0.030264432539817466
39049980000,9800,Other,1,0.08881676178349741,NA,11259136,151421,11259.136,NA,2.2726754849873007e-4
