GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US39049009382,Census Tract 93.82; Franklin County; Ohio,2940,498
1400000US39049009383,Census Tract 93.83; Franklin County; Ohio,3030,446
1400000US39049009384,Census Tract 93.84; Franklin County; Ohio,2681,388
1400000US39049009385,Census Tract 93.85; Franklin County; Ohio,3810,389
1400000US39049009386,Census Tract 93.86; Franklin County; Ohio,3096,512
1400000US39049009390,Census Tract 93.90; Franklin County; Ohio,7768,986
1400000US39049009391,Census Tract 93.91; Franklin County; Ohio,5059,677
1400000US39049009392,Census Tract 93.92; Franklin County; Ohio,3468,472
1400000US39049009393,Census Tract 93.93; Franklin County; Ohio,3819,605
1400000US39049009394,Census Tract 93.94; Franklin County; Ohio,1969,229
1400000US39049009395,Census Tract 93.95; Franklin County; Ohio,4615,626
1400000US39049009396,Census Tract 93.96; Franklin County; Ohio,3206,700
1400000US39049009397,Census Tract 93.97; Franklin County; Ohio,2930,480
1400000US39049009401,Census Tract 94.01; Franklin County; Ohio,5096,681
1400000US39049009403,Census Tract 94.03; Franklin County; Ohio,3249,520
1400000US39049009404,Census Tract 94.04; Franklin County; Ohio,3140,428
1400000US39049009405,Census Tract 94.05; Franklin County; Ohio,4035,437
1400000US39049009410,Census Tract 94.10; Franklin County; Ohio,3025,779
1400000US39049009420,Census Tract 94.20; Franklin County; Ohio,6013,744
1400000US39049009440,Census Tract 94.40; Franklin County; Ohio,4853,424
1400000US39049009495,Census Tract 94.95; Franklin County; Ohio,5548,665
1400000US39049009497,Census Tract 94.97; Franklin County; Ohio,2061,262
1400000US39049009498,Census Tract 94.98; Franklin County; Ohio,3858,693
1400000US39049009520,Census Tract 95.20; Franklin County; Ohio,4472,488
1400000US39049009590,Census Tract 95.90; Franklin County; Ohio,5520,559
1400000US39049009600,Census Tract 96; Franklin County; Ohio,4829,690
1400000US39049009711,Census Tract 97.11; Franklin County; Ohio,4950,584
1400000US39049009712,Census Tract 97.12; Franklin County; Ohio,2695,675
